pointid	name	isvisible	idregion
1	Посьет	1	9
2	Славянка	1	9
3	Владивосток	1	9
4	Находка	1	9
5	Козьмино	1	9
6	Преображение	1	9
7	Валентин	1	9
8	б.Ольги	1	9
9	Рудная Пристань	1	9
10	Пластун	1	9
11	Сосуново	1	8
12	Адими	1	8
13	Аян	1	3
14	Большой Шантар	0	0
15	Чумикан	0	0
16	Северо-Эвенск	1	3
17	Холмск	1	8
18	Невельск	1	8
19	Корсаков	1	6
20	Пригородное	1	6
21	Новиково	1	6
22	Стародубское	1	6
23	Северо-Курильск	1	7
24	Курильск	1	7
25	Буревестник	1	7
26	Южно-Курильск	1	7
27	Малокурильское	1	7
28	Матуа	0	0
29	Крильон	0	0
30	Чехов	0	0
31	Усть-Хайрюзово	1	2
32	Ича	1	2
33	Устьевой	1	2
34	Октябрьский	1	2
35	Озерновский	1	2
36	Петропавловск-Камчатский	1	1
37	Усть-Камчатск	1	1
38	Оссора	1	1
39	Корф (Тиличики)	1	1
40	Семячик	0	0
41	Водопадная	0	0
42	Ильпырский	0	0
43	Вакканаи	0	0
44	Момбецу	0	0
45	Абасири	0	0
46	Немуро	0	0
47	Куширо	0	0
48	Отару	0	0
49	Хакодате	0	0
50	Акита	0	0
51	Ниигата	0	0
52	Тояма	0	0
53	Офунато	0	0
54	Шелихова	1	3
55	Ст. 21419	0	0
56	Ст. 21347	0	0
57	Ст. 21402	0	0
58	Брохово	1	3
59	Тайгонос	0	0
60	м.Астрономический	0	0
61	Усть-Воямполка	0	0
62	р.Маймагун	0	0
63	м.Лопатка	0	0
64	м.Братьев	1	3
65	Тахтоямск	0	0
66	м.Угольный	0	0
67	м.Тукургу	0	0
68	м.Борикоган	0	0
69	б.Мамга	0	0
70	Мукхо	0	0
71	Вонсан	0	0
72	Хыннам	0	0
73	Чхончжин	0	0
74	Пустой	0	0
75	Пустой	0	0
76	Пустой	0	0
77	Пустой	0	0
78	Пустой	0	0
79	Пустой	0	0
80	Советская Гавань	1	8
81	Ванино	0	0
82	Де-Кастри	0	0
83	о.Байдукова	1	4
84	Александровск-Сахалинский	1	2
85	Углегорск	1	8
86	Взморье	1	6
87	Макаров	1	6
88	Поронайск	1	6
89	Владимирово	1	6
90	Москальво	1	4
91	Рыбновск	1	4
92	Иннокентьевский	0	0
93	Восточный	0	0
94	м.Терпения	0	0
95	Луньский	0	0
96	Набиль	0	0
97	Чайво	0	0
98	Пильтун	0	0
99	Погиби	0	0
100	Лазарева	0	0
101	Джаоре	0	0
102	Пронге	0	0
103	Озерпах	0	0
104	Литке	0	0
105	АБС 2085	0	0
106	АБС 2087	0	0
107	м.Гвоздева	0	0
108	м.Левенштерна	0	0
109	Пильво	1	8
110	Комрво	1	5
111	Одопту	1	5
112	Ильинский	0	0
113	м.Сущева	0	0
114	м.Невельского	0	0
115	м.Тык	0	0
116	Куэгда	0	0
117	м.Беллинсгаузена	0	0
118	Ныйский	0	0
119	Рейд Уркт	0	0
120	м.Горнера	0	0
121	Пустой	0	0
122	Пустой	0	0
123	Пустой	0	0
124	Пустой	0	0
125	б.Нагаева	1	3
126	АБС 2118 Лисянский	0	0
127	АБС 2117 Магадан1	0	0
128	о.Завьялова	0	0
129	м.Алевина	1	3
130	Охотск	1	3
131	Энкан	0	0
132	Улья	0	0
133	о.Спафарьева	1	3
134	п-в Лисянского	0	0
135	зал.Шельтинга	0	0
136	Пустой	0	0
137	Пустой	0	0
138	Пустой	0	0
139	Ст. 21419	0	0
140	Ст. 21347	0	0
141	Ст. 21402	0	0
142	Ст. 21402	0	0
143	Ст. 21402	0	0
144	АБС 2085	0	0
145	АБС 2087	0	0
146	АБС 2087	0	0
147	АБС 2087	0	0
148	АБС 2118 Лисянский	0	0
149	АБС 2117 Магадан1	0	0
150	АБС 2117 Магадан1	0	0
